House_ID,Square_Feet,Bedrooms,Location,Price
H-1000,3974,2,Urban,835100
H-1001,1660,4,Urban,436300
H-1002,2094,1,Urban,467100
H-1003,1930,4,Suburban,425400
H-1004,1895,2,Suburban,381500
H-1005,3892,2,Suburban,756400
H-1006,2438,1,Rural,453400
H-1007,2969,2,Suburban,637400
H-1008,1266,5,Rural,327800
H-1009,2038,2,Rural,434800
H-1010,1130,4,Suburban,287100
H-1011,2282,4,Urban,547500
H-1012,2935,4,Urban,680500
H-1013,3971,4,Suburban,800800
H-1014,3719,5,Suburban,788100
H-1015,930,3,Suburban,235900
H-1016,2485,1,Urban,514000
H-1017,1569,4,Suburban,365900
H-1018,3191,2,Urban,695600
H-1019,2315,4,Rural,531300
H-1020,3653,2,Suburban,713200
H-1021,3233,2,Suburban,640800
H-1022,2015,4,Urban,524300
H-1023,1755,5,Urban,458300
H-1024,3124,2,Urban,672000
H-1025,1984,2,Suburban,440700
H-1026,1259,4,Urban,395400
H-1027,821,2,Suburban,166800
H-1028,3100,2,Urban,651100
H-1029,1547,4,Rural,376700
H-1030,3704,4,Suburban,753400
H-1031,1274,1,Suburban,247700
H-1032,1882,5,Suburban,456100
H-1033,3358,5,Urban,797200
H-1034,2847,2,Suburban,570000
H-1035,3547,5,Suburban,769400
H-1036,1775,2,Urban,425100
H-1037,2606,1,Rural,512300
H-1038,989,4,Suburban,271400
H-1039,3805,4,Suburban,774000
H-1040,3534,4,Rural,753600
H-1041,3805,5,Suburban,820400
H-1042,1362,1,Urban,302500
H-1043,2699,5,Urban,644100
H-1044,2067,5,Suburban,505700
H-1045,3679,1,Urban,756700
H-1046,2328,1,Suburban,441900
H-1047,1446,1,Rural,285500
H-1048,2868,1,Urban,595400
H-1049,3688,4,Urban,824500
