timestamp_sec,temperature_c,humidity_pct,pressure_kpa,vibration_index
0,20.25,53.478,101.83,57.196
1,20.512,52.844,101.419,57.395
2,21.227,52.678,101.141,58.205
3,21.652,52.597,101.529,58.731
4,21.988,52.553,101.393,59.056
5,22.108,52.13,101.713,59.423
6,22.618,51.985,101.963,59.893
7,23.369,51.825,100.823,61.019
8,23.245,51.382,100.13,60.749
9,23.94,51.264,101.124,61.565
10,24.407,50.478,100.79,61.83
11,24.487,50.036,101.716,61.89
12,24.54,49.669,100.938,61.691
13,24.648,49.723,100.362,61.892
14,25.09,48.249,101.013,61.607
15,25.082,48.476,100.554,61.982
16,24.941,46.939,102.095,60.919
17,25.171,46.743,101.536,60.991
18,25.04,45.942,101.624,60.58
19,25.089,45.162,101.568,60.008
20,24.66,44.976,101.72,59.712
21,24.283,44.308,101.867,58.468
22,24.014,43.351,101.03,57.858
23,23.342,42.244,100.59,56.054
24,23.407,42.137,100.877,56.235
25,22.989,41.713,101.277,55.249
26,22.311,41.101,100.018,54.117
27,22.132,40.781,101.871,53.565
28,21.944,40.617,100.352,53.271
29,21.049,39.676,101.6,51.413
30,20.514,39.271,101.216,50.27
31,20.429,38.732,101.443,50.06
32,19.835,38.667,101.064,49.036
33,19.823,38.145,101.409,48.912
34,18.459,37.925,101.064,46.627
35,18.39,38.005,101.022,46.58
36,17.851,37.34,100.851,45.615
37,17.363,37.05,102.063,44.808
38,17.123,37.175,101.483,44.351
39,16.555,37.343,101.405,43.475
40,15.829,37.164,100.862,42.288
41,15.739,37.395,101.183,42.224
42,15.915,36.989,100.806,42.304
43,15.654,37.093,101.054,42.0
44,15.167,37.402,100.695,41.648
45,15.213,37.446,102.095,41.523
46,15.588,38.165,100.922,42.342
47,14.994,38.353,100.862,41.672
48,15.017,39.242,100.637,42.164
49,15.126,38.916,100.914,42.151
50,15.327,40.237,101.053,43.189
51,15.301,39.977,101.275,42.947
52,15.704,40.431,100.977,43.848
53,15.45,41.112,100.5,43.653
54,16.203,42.526,100.543,45.746
55,16.482,42.529,101.64,46.013
56,16.8,43.316,101.239,46.898
57,17.152,43.73,101.624,47.515
58,17.555,44.394,101.69,48.577
59,17.968,44.909,101.376,49.472
60,18.139,45.715,100.684,49.949
61,19.036,46.483,101.395,51.63
62,19.804,47.464,102.0,53.467
63,20.017,47.012,101.076,53.483
64,20.71,48.655,101.47,55.418
65,20.86,48.907,101.293,55.614
66,21.297,49.191,101.986,56.385
67,21.874,49.662,100.961,57.663
68,22.265,50.634,101.877,58.68
69,22.656,50.85,101.112,59.198
70,23.375,50.744,100.953,60.569
71,24.001,51.697,101.355,61.719
72,23.835,52.273,101.471,62.146
73,23.914,52.484,102.256,62.051
74,24.625,52.29,101.46,63.123
75,24.403,52.279,101.397,62.909
76,24.603,52.738,102.098,63.421
77,25.04,53.916,101.601,64.717
78,24.96,52.529,100.978,63.552
79,24.857,52.742,101.978,63.543
80,24.96,53.063,100.93,63.994
81,24.768,52.808,100.975,63.64
82,25.082,52.635,100.876,63.939
83,24.376,53.104,100.832,62.952
84,24.09,51.993,101.467,62.181
85,23.901,51.951,101.171,61.808
86,23.589,51.678,99.561,61.202
87,23.434,50.995,101.166,60.421
88,22.526,50.384,101.041,59.061
89,22.59,50.439,101.746,59.119
90,21.952,50.411,101.018,58.313
91,21.751,49.465,102.57,57.352
92,21.105,48.82,101.998,56.124
93,20.726,48.243,101.105,55.294
94,20.046,47.545,101.875,53.667
95,19.712,47.365,101.563,53.512
96,19.461,46.233,101.417,52.265
97,18.493,45.344,101.701,50.461
98,18.146,44.637,101.327,49.602
99,17.615,44.496,101.42,48.589
